Dates,Portolfio,Benchmark 
2/1/2021,168.22,126.6214919
2/2/2021,170.24,128.0316733
2/3/2021,172.32,128.1124534
2/4/2021,171.33,129.2482274
2/5/2021,172.2,129.6415691
2/6/2021,173.07,129.6415691
2/7/2021,173.94,129.6415691
2/8/2021,179.68,130.3627093
2/9/2021,181.5,130.3006956
2/10/2021,181.25,130.2555667
2/11/2021,183.29,130.4135891
2/12/2021,186,130.9094476
2/13/2021,190.66,130.9094476
2/14/2021,190.28,130.9094476
2/15/2021,189.67,130.9094476
2/16/2021,191,130.8253433
2/17/2021,191.89,130.84779
2/18/2021,189.66,130.4213986
2/19/2021,193.74,130.246731
2/20/2021,197.06,130.246731
2/21/2021,197.87,130.246731
2/22/2021,195.53,129.4734624
2/23/2021,193.19,129.5986046
2/24/2021,192.99,130.7007521
2/25/2021,188.49,128.290098
2/26/2021,183.99,127.7718738
2/27/2021,177.34,127.7718738
2/28/2021,176.32,127.7718738
3/1/2021,181.14,130.1970634
3/2/2021,181,129.4172261
3/3/2021,179.76,128.0901957
3/4/2021,175.5,126.8549865
3/5/2021,171.24,128.6959075
3/6/2021,167.33,128.6959075
3/7/2021,169.19,128.6959075
3/8/2021,166.43,128.1966535
3/9/2021,174.23,129.6269551
3/10/2021,172.98,130.2467311
3/11/2021,175.93,131.2639101
3/12/2021,177.93,131.3981684
3/13/2021,182.32,131.3981684
3/14/2021,180.54,131.3981684
3/15/2021,179.36,131.9903471
3/16/2021,179.71,131.8681656
3/17/2021,182.45,132.207356
3/18/2021,179.58,130.7498886
3/19/2021,176.99,130.5699313
3/20/2021,174.51,130.5699313
3/21/2021,173.84,130.5699313
3/22/2021,172.13,131.3642975
3/23/2021,170.8,130.5761918
3/24/2021,166.32,130.0691495
3/25/2021,162.25,130.6354009
3/26/2021,162.08,132.2457613
3/27/2021,162.48,132.2457613
3/28/2021,162.53,132.2457613
3/29/2021,163.37,132.1958888
3/30/2021,165.79,131.9297691
3/31/2021,166.84,132.3355727
4/1/2021,168.73,133.4151873
4/2/2021,171.51,133.4151873
4/3/2021,172.12,133.4151873
4/4/2021,174.07,133.4151873
4/5/2021,177.14,134.8502533
4/6/2021,179.04,134.7908549
4/7/2021,176.06,134.9043193
4/8/2021,179.33,135.3792505
4/9/2021,182.66,136.1097656
4/10/2021,188.84,136.1097656
4/11/2021,189.88,136.1097656
4/12/2021,190,136.1417605
4/13/2021,192.74,136.4402839
4/14/2021,192.63,136.1001297
4/15/2021,193.45,137.1720726
4/16/2021,195.24,137.5097678
4/17/2021,196.09,137.5097678
4/18/2021,192.43,137.5097678
4/19/2021,191.24,137.0154472
4/20/2021,192.38,136.2861374
4/21/2021,191.6,137.2284287
4/22/2021,189.21,136.3160296
4/23/2021,187.84,137.4018291
4/24/2021,186.47,137.4018291
4/25/2021,185.1,137.4018291
4/26/2021,188.61,137.6071787
4/27/2021,190.31,137.5861603
4/28/2021,190.09,137.5598819
4/29/2021,189.48,138.1959875
4/30/2021,191.07,137.5377834
5/1/2021,193.04,137.5377834
5/2/2021,192.55,137.5377834
5/3/2021,194.28,137.75338
5/4/2021,190.26,137.1394646
5/5/2021,194.27,137.1711419
5/6/2021,194.65,137.9681018
5/7/2021,195.28,138.6959267
5/8/2021,196.88,138.6959267
5/9/2021,197.22,138.6959267
5/10/2021,193.4,137.7082467
5/11/2021,195.91,136.8157177
5/12/2021,188.5,134.6914395
5/13/2021,189.14,135.8875859
5/14/2021,195.33,137.4279399
5/15/2021,201.52,137.4279399
5/16/2021,201.6,137.4279399
5/17/2021,198.94,137.1698414
5/18/2021,197.98,136.3090472
5/19/2021,186.78,136.048034
5/20/2021,191.99,137.1215226
5/21/2021,197.2,137.0422623
5/22/2021,196.55,137.0422623
5/23/2021,193.57,137.0422623
5/24/2021,200.11,138.0628864
5/25/2021,200.86,137.8377908
5/26/2021,204.02,138.0371612
5/27/2021,203.18,138.0895227
5/28/2021,199.14,138.2674587
5/29/2021,193.38,138.2674587
5/30/2021,194.8,138.2674587
5/31/2021,197.36,138.2674587
6/1/2021,197.6,138.1786487
6/2/2021,199.67,138.3355115
6/3/2021,199.55,137.9648511
6/4/2021,197.46,138.8818496
6/5/2021,194.47,138.8818496
6/6/2021,194.86,138.8818496
6/7/2021,192.24,138.7831944
6/8/2021,191.81,138.8039845
6/9/2021,194.21,138.6584846
6/10/2021,193.03,139.1216403
6/11/2021,190.83,139.2874004
6/12/2021,187.8,139.2874004
6/13/2021,190.38,139.2874004
6/14/2021,191.15,139.509772
6/15/2021,189.96,139.3291735
6/16/2021,187.39,138.7708897
6/17/2021,186.45,138.7345015
6/18/2021,182.76,137.3876476
6/19/2021,178.53,137.3876476
6/20/2021,179.05,137.3876476
6/21/2021,174.17,138.8161437
6/22/2021,174.65,139.3514311
6/23/2021,176.46,139.2325374
6/24/2021,177.58,139.8225384
6/25/2021,177.11,140.1775497
6/26/2021,176.98,140.1775497
6/27/2021,178.33,140.1775497
6/28/2021,178.36,140.3826253
6/29/2021,179.67,140.4337893
6/30/2021,179.71,140.5207236
7/1/2021,178.39,141.0725323
7/2/2021,177.14,141.8347274
7/3/2021,176.52,141.8347274
7/4/2021,177.08,141.8347274
7/5/2021,176.06,141.8347274
7/6/2021,176.03,141.6531843
7/7/2021,175.62,142.0068268
7/8/2021,173.68,141.1912811
7/9/2021,173.27,142.2622384
7/10/2021,172.55,142.2622384
7/11/2021,172.99,142.2622384
7/12/2021,172.2,142.6187894
7/13/2021,171.63,142.2785172
7/14/2021,171.7,142.4291498
7/15/2021,171.77,142.0832158
7/16/2021,169.28,141.3034201
7/17/2021,166.82,141.3034201
7/18/2021,167.01,141.3034201
7/19/2021,165.26,139.82284
7/20/2021,164.86,141.2587638
7/21/2021,167.68,142.0655019
7/22/2021,167.89,142.2768971
7/23/2021,168.4,143.3065304
7/24/2021,169.34,143.3065304
7/25/2021,169.7,143.3065304
7/26/2021,170.03,143.5501297
7/27/2021,170.69,143.093871
7/28/2021,171.8,143.0540145
7/29/2021,172.36,143.4676908
7/30/2021,173.15,142.981266
7/31/2021,174.14,142.981266
8/1/2021,173.42,142.981266
8/2/2021,173.57,142.7717792
8/3/2021,173.19,143.5864941
8/4/2021,174.33,143.0956661
8/5/2021,175.47,143.7284198
8/6/2021,176.13,143.8918023
8/7/2021,178.19,143.8918023
8/8/2021,176.4,143.8918023
8/9/2021,178.71,143.8127158
8/10/2021,178.59,143.9363863
8/11/2021,179.53,144.1834219
8/12/2021,178.2,144.4840626
8/13/2021,179.41,144.6658719
8/14/2021,180.68,144.6658719
8/15/2021,181.15,144.6658719
8/16/2021,179.32,144.9013045
8/17/2021,177.1,144.2455989
8/18/2021,177.41,143.1521105
8/19/2021,178.04,143.306493
8/20/2021,180.35,144.1020775
8/21/2021,182.17,144.1020775
8/22/2021,182.7,144.1020775
8/23/2021,185.74,144.9801792
8/24/2021,185.48,145.1415563
8/25/2021,186.8,145.3514968
8/26/2021,184.17,144.7619718
8/27/2021,184.14,145.6539537
8/28/2021,183.82,145.6539537
