Dates,Portolfio,Benchmark ,,,
4/24/2021,187.84,199.9267385,,,
4/25/2021,186.47,197.4648113,,,
4/26/2021,185.1,197.3865401,,,
4/27/2021,188.61,200.4179879,,,
4/28/2021,190.31,201.9310814,,,
4/29/2021,190.09,201.3605328,,,
4/30/2021,189.48,200.5114626,,,
5/1/2021,191.07,201.585786,,,
5/2/2021,193.04,202.464146,,,
5/3/2021,192.55,201.6910519,,,
5/4/2021,194.28,203.9565733,,,
5/5/2021,190.26,200.8614483,,,
5/6/2021,194.27,204.408923,,,
5/7/2021,194.65,204.5403457,,,
5/8/2021,195.28,206.5054073,,,
5/9/2021,196.88,207.8683144,,,
5/10/2021,197.22,207.8812668,,,
5/11/2021,193.4,203.5674232,,,
5/12/2021,195.91,206.3560231,,,
5/13/2021,188.5,197.6995184,,,
5/14/2021,189.14,198.7368157,,,
5/15/2021,195.33,203.3693019,,,
5/16/2021,201.52,210.141974,,,
5/17/2021,201.6,209.7619381,,,
5/18/2021,198.94,207.8276949,,,
5/19/2021,197.98,205.4871442,,,
5/20/2021,186.78,193.7154004,,,
5/21/2021,191.99,199.565583,,,
5/22/2021,197.2,205.894493,,,
5/23/2021,196.55,205.7768623,,,
5/24/2021,193.57,202.7882961,,,
5/25/2021,200.11,208.8182107,,,
5/26/2021,200.86,208.2907186,,,
5/27/2021,204.02,211.4999696,,,
5/28/2021,203.18,212.0396618,,,
5/29/2021,199.14,206.3834734,,,
5/30/2021,193.38,201.4730314,,,
5/31/2021,194.8,201.1448044,,,
6/1/2021,197.36,202.1315477,,,
6/2/2021,197.6,202.9418782,,,
6/3/2021,199.67,206.2936956,,,
6/4/2021,199.55,207.8745222,,,
6/5/2021,197.46,205.5088536,,,
6/6/2021,194.47,202.9777145,,,
6/7/2021,194.86,201.8070474,,,
6/8/2021,192.24,198.3564409,,,
6/9/2021,191.81,197.1727208,,,
6/10/2021,194.21,199.2456608,,,
6/11/2021,193.03,199.573306,,,
6/12/2021,190.83,198.2184829,,,
6/13/2021,187.8,195.7721759,,,
6/14/2021,190.38,198.7507464,,,
