Dates,Portolfio,Benchmark 
12/20/2020,96.21056592,124.6045042
12/21/2020,96.607162,124.2526645
12/22/2020,97.12324571,124.0791157
12/23/2020,96.43234643,124.1690384
12/24/2020,96.82807145,124.5583532
12/25/2020,96.82807145,124.5583532
12/26/2020,96.82807145,124.5583532
12/27/2020,96.82807145,124.5583532
12/28/2020,96.87255769,125.4174905
12/29/2020,96.74541643,125.2281974
12/30/2020,96.96176501,125.3704365
12/31/2020,97.10780777,125.8794026
1/1/2021,97.10780777,125.8794026
1/2/2021,97.10780777,125.8794026
1/3/2021,97.10780777,125.8794026
1/4/2021,96.98735273,124.5192189
1/5/2021,96.24468799,125.205704
1/6/2021,94.19187918,125.8045064
1/7/2021,93.31045229,127.289655
1/8/2021,92.98768002,127.8587606
1/9/2021,92.98768002,127.8587606
1/10/2021,92.98768002,127.8587606
1/11/2021,92.82249636,127.183163
1/12/2021,92.74302687,127.2064175
1/13/2021,93.86922886,127.4737816
1/14/2021,92.93242863,127.1259757
1/15/2021,93.32926337,126.398851
1/16/2021,93.32926337,126.398851
1/17/2021,93.32926337,126.398851
1/18/2021,93.32926337,126.398851
1/19/2021,93.65197104,127.1840379
1/20/2021,93.75047785,128.5677589
1/21/2021,93.04862747,128.6595125
1/22/2021,93.37228386,128.3042931
1/23/2021,93.37228386,128.3042931
1/24/2021,93.37228386,128.3042931
1/25/2021,94.55085246,128.6952774
1/26/2021,94.3621497,128.5406383
1/27/2021,94.61642977,126.0969969
1/28/2021,94.06366612,126.9554669
1/29/2021,93.46200918,124.9558167
1/30/2021,93.46200918,124.9558167
1/31/2021,93.46200918,124.9558167
2/1/2021,93.57792536,126.6214919
2/2/2021,92.93319141,128.0316733
2/3/2021,92.0459307,128.1124534
2/4/2021,91.77868031,129.2482274
2/5/2021,90.94129202,129.6415691
2/6/2021,90.94129202,129.6415691
2/7/2021,90.94129202,129.6415691
2/8/2021,91.38034703,130.3627093
2/9/2021,91.45438619,130.3006956
2/10/2021,92.11976113,130.2555667
2/11/2021,91.57228822,130.4135891
2/12/2021,90.33035996,130.9094476
2/13/2021,90.33035996,130.9094476
2/14/2021,90.33035996,130.9094476
2/15/2021,90.33035996,130.9094476
2/16/2021,88.8076577,130.8253433
2/17/2021,89.44273634,130.84779
2/18/2021,89.0380731,130.4213986
2/19/2021,87.7088632,130.246731
2/20/2021,87.7088632,130.246731
2/21/2021,87.7088632,130.246731
2/22/2021,86.94805346,129.4734624
2/23/2021,86.65967396,129.5986046
2/24/2021,86.00369,130.7007521
2/25/2021,84.37061578,128.290098
2/26/2021,87.67650759,127.7718738
2/27/2021,87.67650759,127.7718738
